timestamp,symbol,side,qty,price,pnl,trade_type,duration
2025-10-12 21:55:40.490904,DOGE/USD,BUY,30275.4722715,0.207567,0,entry,
2025-10-12 21:55:41.162413,AVAX/USD,BUY,285.4082955,22.738,0,entry,
2025-10-12 21:55:41.769,DOT/USD,BUY,2097.157545,3.254405,0,entry,
2025-10-12 21:55:42.413099,SHIB/USD,BUY,634588563.4588565,1.0755e-05,0,entry,
2025-10-12 21:55:43.062183,LINK/USD,BUY,357.3906555,19.09675,0,entry,
2025-10-12 21:55:43.802505,UNI/USD,BUY,1028.683308,6.634695,0,entry,
2025-10-12 21:55:44.440098,AAVE/USD,BUY,16.1222545,252.9225,0,entry,
2025-10-12 21:55:45.120852,LTC/USD,BUY,68.54371,99.5715,0,entry,
2025-10-14 00:23:36.873280,BTC/USD,SELL,0.045552333,115327.595,0,exit,
2025-10-14 08:59:55.598196,XRP/USD,SELL,2675.392490163,2.466,0,exit,
2025-10-14 08:59:56.182504,AVAX/USD,SELL,284.694774761,22.4065,0,exit,
2025-10-14 08:59:56.710753,DOT/USD,SELL,2091.914651137,3.1476,0,exit,
2025-10-14 09:35:57.665686,SPY,SELL,-127,657.76,0,entry,
2025-10-14 09:35:58.159584,QQQ,SELL,-120,595.64,0,entry,
2025-10-14 09:35:58.660388,DIA,SELL,-78,458.51,0,entry,
2025-10-14 09:35:59.334233,AAPL,SELL,-390,245.55,0,entry,
2025-10-14 09:35:59.866180,MSFT,SELL,-140,511.0,0,entry,
2025-10-14 09:36:00.296309,NVDA,SELL,-550,185.06,0,entry,
2025-10-14 09:36:00.748927,AMD,BUY,256,210.5,0,entry,
2025-10-14 09:36:01.152440,GOOGL,SELL,-419,242.0,0,entry,
2025-10-14 09:36:01.597712,TSLA,SELL,-141,425.22,0,entry,
2025-10-14 09:36:01.993908,META,BUY,101,706.6,0,entry,
2025-10-14 09:36:02.438656,AMZN,SELL,-220,217.6,0,entry,
2025-10-14 09:36:02.836514,NFLX,BUY,51,1212.0,0,entry,
2025-10-14 09:36:03.262066,CRM,BUY,327,246.9,0,entry,
2025-10-14 09:36:03.731503,ADBE,BUY,132,338.6,0,entry,
2025-10-14 09:36:04.144894,JPM,BUY,407,308.73,0,entry,
2025-10-14 09:36:04.634259,BAC,SELL,-1104,48.87,0,entry,
2025-10-14 09:36:05.108946,GS,BUY,68,784.0,0,entry,
2025-10-14 09:36:05.548934,V,BUY,131,341.1,0,entry,
2025-10-14 09:36:06.062435,WMT,SELL,-294,102.0,0,entry,
2025-10-14 09:36:06.507686,COST,BUY,32,935.56,0,entry,
2025-10-14 09:36:06.961521,HD,BUY,142,377.28,0,entry,
2025-10-14 09:36:07.403950,JNJ,BUY,219,190.61,0,entry,
2025-10-14 09:36:07.833433,UNH,BUY,126,355.61,0,entry,
2025-10-14 11:33:41.835929,SPY,BUY,127.0,657.36,0,exit,
2025-10-14 11:33:42.356499,QQQ,BUY,120.0,595.15,0,exit,
2025-10-14 11:33:43.217102,AAPL,BUY,390.0,246.29,0,exit,
2025-10-14 11:33:44.065496,NVDA,BUY,324,185.05,0,entry,
2025-10-14 11:33:44.573127,AMD,SELL,256.0,212.8,0,exit,
2025-10-14 11:33:45.015614,GOOGL,SELL,-210,240.55,0,entry,
2025-10-14 11:33:45.517861,TSLA,BUY,141.0,425.6,0,exit,
2025-10-14 11:33:45.982610,META,SELL,101.0,706.01,0,exit,
2025-10-14 11:33:48.054674,JPM,BUY,248,308.0,0,entry,
2025-10-14 11:33:48.910857,GS,SELL,68.0,779.0,0,exit,
2025-10-14 11:33:49.346463,V,BUY,65,342.0,0,entry,
2025-10-14 11:33:49.764136,WMT,SELL,-147,102.02,0,entry,
2025-10-14 11:33:50.259515,COST,BUY,16,935.56,0,entry,
2025-10-14 11:33:50.684110,HD,BUY,71,377.49,0,entry,
2025-10-14 11:33:51.120777,JNJ,BUY,188,190.5,0,entry,
2025-10-14 11:33:51.591633,UNH,BUY,63,355.3,0,entry,
2025-10-14 11:36:02.197032,SPY,BUY,76,657.31,0,entry,
2025-10-14 11:36:02.868462,QQQ,BUY,85,595.32,0,entry,
2025-10-14 11:36:03.851800,AAPL,BUY,193,246.72,0,entry,
2025-10-14 11:36:04.924697,NVDA,SELL,324.0,185.13,0,exit,
2025-10-14 11:36:05.527189,AMD,BUY,183,212.67,0,entry,
2025-10-14 11:36:06.495888,TSLA,BUY,70,425.78,0,entry,
2025-10-14 11:36:07.115866,META,SELL,-37,706.01,0,entry,
2025-10-14 11:36:09.857911,JPM,SELL,248.0,308.0,0,exit,
2025-10-14 11:36:10.935752,GS,BUY,39,781.0,0,entry,
2025-10-14 11:36:14.335838,BTC/USD,BUY,0.134373,111629.546,0,entry,
2025-10-14 11:36:16.031981,XRP/USD,BUY,6092.607636,2.462,0,entry,
2025-10-14 11:36:17.048606,AVAX/USD,BUY,664.273805,22.58105,0,entry,
2025-10-14 11:36:17.941394,DOT/USD,BUY,4741.583689,3.1635,0,entry,
2025-10-14 11:37:48.888013,NVDA,BUY,194,185.14,0,entry,
2025-10-14 11:37:49.374311,AMD,SELL,183.0,212.7,0,exit,
2025-10-14 11:37:50.626493,META,SELL,-22,706.01,0,entry,
2025-10-14 11:37:52.721700,JPM,BUY,147,308.0,0,entry,
2025-10-14 11:37:57.874330,XRP/USD,BUY,3655.638823,2.46195,0,entry,
2025-10-14 11:38:58.525383,AVAX/USD,BUY,398.318212,22.595,0,entry,
2025-10-14 11:38:59.176191,DOT/USD,BUY,2848.371681,3.1597,0,entry,
2025-10-14 11:48:41.311705,NVDA,BUY,38,185.21,0,entry,
2025-10-14 11:48:41.763271,AMD,BUY,20,212.72,0,entry,
2025-10-14 11:48:45.386901,BAC,SELL,-73,48.9,0,entry,
2025-10-14 11:48:50.030055,XRP/USD,BUY,731.7965605,2.4597,0,entry,
2025-10-14 11:48:50.582162,AVAX/USD,BUY,598.7094485,22.5485,0,entry,
2025-10-14 11:48:51.061774,DOT/USD,BUY,2850.8303045,3.156975,0,entry,
2025-10-14 12:07:47.306205,SPY,SELL,76.0,657.111,0,exit,
2025-10-14 12:07:47.916388,DIA,SELL,-7,457.69,0,entry,
2025-10-14 12:07:48.502633,MSFT,SELL,-8,510.6,0,entry,
2025-10-14 12:07:49.398116,GOOGL,BUY,190,240.16,0,entry,
2025-10-14 12:07:50.049468,META,SELL,-4,706.25,0,entry,
2025-10-14 12:07:50.428985,AMZN,SELL,-14,217.13,0,entry,
2025-10-14 12:07:51.053064,CRM,SELL,327.0,249.4,0,exit,
2025-10-14 12:07:51.901803,BAC,BUY,73.0,48.75,10.949999999999896,exit,0.31847636166666665
2025-10-14 12:07:52.881566,WMT,BUY,147.0,102.09,0,exit,
2025-10-14 12:07:53.523126,HD,SELL,71.0,377.01,0,exit,
2025-10-14 12:07:54.732353,BTC/USD,SELL,0.134077379,111268.925,0,exit,
2025-10-14 12:07:57.056835,DOT/USD,BUY,2868.845927,3.13715,0,entry,
2025-10-14 12:48:35.874413,SPY,SELL,-8,656.35,0,entry,
2025-10-14 12:48:36.519715,QQQ,SELL,85.0,594.39,0,exit,
2025-10-14 12:48:37.686680,AAPL,SELL,193.0,245.46,0,exit,
2025-10-14 12:48:39.954602,GOOGL,SELL,190.0,239.76,0,exit,
2025-10-14 12:48:42.469737,CRM,BUY,98,247.0,0,entry,
2025-10-14 12:48:43.941232,BAC,SELL,-73,48.75,0,entry,
2025-10-14 12:48:45.414057,WMT,SELL,-17,102.04,0,entry,
2025-10-14 12:48:46.492338,HD,BUY,42,378.38,0,entry,
2025-10-14 12:48:47.524717,UNH,SELL,63.0,355.75,0,exit,
2025-10-14 12:48:50.900025,AVAX/USD,SELL,597.392287713,22.10645,0,exit,
2025-10-14 12:49:54.373039,LTC/USD,SELL,68.372350725,92.013,0,exit,
2025-10-14 12:59:58.617540,SPY,BUY,8.0,656.88,-4.239999999999782,exit,0.1896508686111111
2025-10-14 12:59:58.901824,QQQ,BUY,10,594.74,0,entry,
2025-10-14 12:59:59.340586,AAPL,SELL,-22,245.5048,0,entry,
2025-10-14 13:00:00.250214,GOOGL,SELL,-23,240.13,0,entry,
2025-10-14 13:00:02.508553,WMT,BUY,17.0,101.8307,3.5581000000002234,exit,0.18808180444444444
2025-10-14 13:00:03.351110,UNH,SELL,-5,355.57,0,entry,
2025-10-14 13:00:05.272628,AVAX/USD,BUY,610.0936605,22.12775,0,entry,
2025-10-14 13:00:07.460717,LTC/USD,BUY,146.350982,92.244,0,entry,
2025-10-14 15:56:32.518623,SPY,BUY,8,661.86,0,entry,
2025-10-14 15:57:31.962507,SPY,BUY,7,662.6,0,entry,
2025-10-14 15:57:33.095164,DIA,BUY,7.0,462.6,0,exit,
2025-10-14 15:57:33.771661,AAPL,BUY,22.0,247.45,0,exit,
2025-10-14 15:57:34.368241,MSFT,BUY,8.0,511.79,0,exit,
2025-10-14 15:57:36.242947,GOOGL,BUY,23.0,246.879,0,exit,
2025-10-14 15:57:37.559493,META,BUY,4.0,715.54,0,exit,
2025-10-14 15:57:38.383975,AMZN,BUY,14.0,217.94,0,exit,
2025-10-14 15:57:41.417971,BAC,BUY,73.0,50.135,0,exit,
2025-10-14 15:57:43.211874,WMT,BUY,68,105.335,0,entry,
2025-10-14 15:57:45.932064,UNH,BUY,5.0,360.96,0,exit,
2025-10-14 15:57:47.106764,BTC/USD,BUY,0.119752,112732.916,0,entry,
2025-10-15 06:13:23.066881,BTC/USD,SELL,0.119488545,112294.33,-52.521550671999485,exit,14.25998892138889
2025-10-15 18:07:24.591205,XRP/USD,SELL,730.186608066,2.429275,0,exit,
2025-10-15 18:07:25.378644,AVAX/USD,SELL,608.751454446,21.92035,0,exit,
2025-10-15 18:07:28.860912,LTC/USD,SELL,146.029009839,94.5254,0,exit,
2025-10-16 12:09:54.196987,QQQ,SELL,10.0,605.2,0,exit,
2025-10-16 12:09:54.710027,DIA,BUY,3,463.42,0,entry,
2025-10-16 12:09:55.250220,AAPL,BUY,23,250.13,0,entry,
2025-10-16 12:09:55.789494,MSFT,BUY,9,514.7,0,entry,
2025-10-16 12:09:57.354180,GOOGL,BUY,180,253.26,0,entry,
2025-10-16 12:09:58.325807,META,BUY,6,720.6385,0,entry,
2025-10-16 12:09:58.866641,AMZN,BUY,27,216.12,0,entry,
2025-10-16 12:10:00.562976,ADBE,SELL,132.0,332.9,0,exit,
2025-10-16 12:10:01.651595,BAC,BUY,136,52.42,0,entry,
2025-10-16 12:10:03.162152,WMT,SELL,68.0,109.0518,0,exit,
2025-10-16 12:10:05.057144,UNH,BUY,11,362.2,0,entry,
2025-10-16 12:10:07.444485,XRP/USD,BUY,5491.934992,2.45815,0,entry,
2025-10-16 12:10:08.070179,AVAX/USD,BUY,80.8262235,22.27,0,entry,
2025-10-16 12:10:59.775330,SPY,SELL,7.0,667.17,0,exit,
2025-10-16 12:11:00.425335,QQQ,SELL,-6,605.02,0,entry,
2025-10-16 12:11:05.684201,NFLX,SELL,51.0,1205.01,0,exit,
2025-10-16 12:11:06.283948,CRM,SELL,98.0,251.75,0,exit,
2025-10-16 12:11:06.792613,ADBE,BUY,89,332.9,0,entry,
2025-10-16 12:11:07.365496,JPM,SELL,147.0,306.93,0,exit,
2025-10-16 12:11:09.268500,WMT,SELL,-49,109.07,0,entry,
2025-10-16 12:11:10.768579,JNJ,SELL,188.0,191.1697,0,exit,
2025-10-16 12:11:15.178960,LINK/USD,SELL,356.497178861,18.493,0,exit,
2025-10-16 12:12:17.021970,LTC/USD,BUY,140.5825325,96.029,0,entry,
2025-10-16 12:22:20.823572,SPY,SELL,-6,667.34,0,entry,
2025-10-16 12:22:22.829041,NFLX,BUY,22,1205.01,0,entry,
2025-10-16 12:22:23.009460,CRM,BUY,160,250.9,0,entry,
2025-10-16 12:22:23.379722,JPM,BUY,174,307.0,0,entry,
2025-10-16 12:22:24.564071,JNJ,BUY,23,191.31,0,entry,
2025-10-16 12:22:26.753164,LINK/USD,BUY,97.349919,18.49,0,entry,
2025-10-16 12:32:31.715922,SPY,BUY,6.0,667.4,-0.3599999999996726,exit,0.16969231944444443
2025-10-16 12:32:34.215826,CRM,SELL,160.0,252.15,200.0,exit,0.16977954611111112
2025-10-16 12:42:42.062791,SPY,BUY,6,668.05,0,entry,
2025-10-16 12:42:42.408099,QQQ,BUY,6.0,606.09,-6.4200000000003,exit,0.5283285455555555
2025-10-16 12:42:44.493412,CRM,BUY,160,252.25,0,entry,
2025-10-16 12:42:45.533624,WMT,BUY,49.0,109.16,-4.410000000000167,exit,0.5267403122222222
2025-10-16 12:52:52.769249,QQQ,BUY,6,606.19,0,entry,
2025-10-16 12:52:54.988925,CRM,SELL,160.0,252.41,25.599999999999454,exit,0.16958208694444443
2025-10-16 12:52:56.051245,WMT,SELL,-49,109.08,0,entry,
2025-10-16 13:03:07.315100,CRM,BUY,160,250.92,0,entry,
2025-10-16 13:03:11.321992,UNI/USD,SELL,1026.11159973,6.62,0,exit,
2025-10-16 13:13:18.465780,WMT,BUY,49.0,109.25,-8.330000000000084,exit,0.3395595930555555
2025-10-16 13:13:20.606758,DOT/USD,SELL,2863.051090887,3.17045,0,exit,
2025-10-16 13:23:25.333221,SPY,SELL,6.0,667.46,-3.539999999999509,exit,0.6786862305555555
2025-10-16 13:23:25.625930,QQQ,SELL,6.0,605.51,-4.080000000000382,exit,0.5091268558333333
2025-10-16 13:23:26.736714,TSLA,SELL,70.0,435.5279,0,exit,
2025-10-16 13:23:28.065354,WMT,BUY,48,109.2475,0,entry,
2025-10-16 13:23:28.261952,COST,SELL,16.0,955.8,0,exit,
2025-10-16 13:23:29.608248,XRP/USD,SELL,5479.852735017,2.4427,0,exit,
2025-10-16 13:23:29.899838,AVAX/USD,SELL,80.648405808,22.0927,0,exit,
2025-10-16 13:23:30.389900,LINK/USD,SELL,97.135749178,18.37,-11.68199027999975,exit,1.017676871111111
2025-10-16 13:33:34.115864,SPY,SELL,-6,666.7,0,entry,
2025-10-16 13:33:34.333548,QQQ,BUY,6,606.01,0,entry,
2025-10-16 13:33:34.533861,DIA,SELL,3.0,463.0,0,exit,
2025-10-16 13:33:36.874173,COST,BUY,30,949.27,0,entry,
2025-10-16 13:33:37.672643,BTC/USD,SELL,0.119488545,111247.975,0,exit,
2025-10-16 13:33:38.390351,XRP/USD,BUY,3674.2192285,2.4495,0,entry,
2025-10-16 13:33:38.868581,DOT/USD,BUY,2829.0321565,3.1813,0,entry,
2025-10-16 13:33:39.119253,LINK/USD,BUY,488.997555,18.405,0,entry,
2025-10-16 13:33:39.420090,UNI/USD,BUY,1360.683063,6.614325,0,entry,
2025-10-16 13:43:44.118110,DIA,BUY,3,463.53,0,entry,
2025-10-16 13:43:45.625059,CRM,SELL,160.0,253.34,387.20000000000255,exit,0.6773083219444445
2025-10-16 13:43:46.588797,COST,SELL,30.0,947.51,-52.79999999999973,exit,0.1693651733333333
2025-10-16 13:43:47.332214,BTC/USD,BUY,0.0808595,111304.35,0,entry,
2025-10-16 13:43:48.170959,AVAX/USD,BUY,406.687754,22.13,0,entry,
2025-10-16 13:53:52.845030,QQQ,SELL,6.0,605.615,-2.369999999999891,exit,0.3384754116666666
2025-10-16 13:53:53.120636,DIA,SELL,3.0,463.19,-1.019999999999925,exit,0.16916736833333332
2025-10-16 13:53:54.040399,GOOGL,SELL,180.0,256.25,0,exit,
2025-10-16 13:53:54.836620,CRM,BUY,159,253.46,0,entry,
2025-10-16 13:53:55.869764,COST,BUY,30,945.29,0,entry,
2025-10-16 13:53:57.138377,ETH/USD,SELL,1.645350813,4023.845,0,exit,
2025-10-16 14:04:02.845786,QQQ,BUY,34,605.08,0,entry,
2025-10-16 14:04:03.099859,DIA,SELL,-3,463.015,0,entry,
2025-10-16 14:04:03.612579,MSFT,SELL,9.0,513.68,0,exit,
2025-10-16 14:04:04.202795,GOOGL,BUY,180,253.905,0,entry,
2025-10-16 14:04:05.092941,CRM,SELL,159.0,254.1,101.75999999999783,exit,0.16951564472222222
2025-10-16 14:04:06.028158,V,SELL,65.0,342.075,0,exit,
2025-10-16 14:04:07.548867,ETH/USD,BUY,3.3676245,4008.7605,0,entry,
2025-10-16 14:14:13.796579,QQQ,SELL,34.0,605.06,-0.6800000000032469,exit,0.16970855361111112
2025-10-16 14:14:14.322362,MSFT,SELL,-10,513.65,0,entry,
2025-10-16 14:14:15.571168,CRM,BUY,159,253.57,0,entry,
2025-10-16 14:14:15.899605,JPM,SELL,174.0,303.75,-565.5,exit,1.8645888563888888
2025-10-16 14:14:16.322025,V,BUY,118,340.71,0,entry,
2025-10-16 14:14:18.039947,XRP/USD,SELL,3666.135946197,2.4207,-105.81751378079977,exit,0.6776804433333334
2025-10-16 14:14:18.758158,LINK/USD,SELL,487.921760379,18.116,-141.3202933950007,exit,0.6776774736111111
2025-10-16 14:24:23.080045,QQQ,BUY,6,606.0899,0,entry,
2025-10-16 14:24:23.644996,MSFT,BUY,10.0,514.81,-11.599999999999682,exit,0.16925628722222222
2025-10-16 14:24:24.221708,GOOGL,SELL,180.0,255.28,247.5,exit,0.33889414250000005
2025-10-16 14:24:25.069213,CRM,SELL,159.0,253.17,-63.600000000000904,exit,0.16930501250000002
2025-10-16 14:24:25.393913,JPM,BUY,176,304.46,0,entry,
2025-10-16 14:24:25.851366,V,SELL,118.0,342.4,199.41999999999973,exit,0.16931370583333336
2025-10-16 14:24:26.075295,WMT,SELL,48.0,108.24,-48.360000000000355,exit,1.0161138724999998
2025-10-16 14:24:26.968356,BTC/USD,SELL,0.080681609,110313.2855,-80.13697993775062,exit,0.6776767061111111
2025-10-16 14:24:27.715188,XRP/USD,BUY,5624.4141235,2.40025,0,entry,
2025-10-16 14:24:28.396896,LINK/USD,BUY,747.6946085,18.0555,0,entry,
2025-10-16 14:34:33.223873,MSFT,BUY,9,515.4,0,entry,
